District,TotPopAbove5Years,TotPopcanReadandWrite,TotPopReadOnly,TotPopCantReadWrite,LiteracyUnknown,MalePopabove5,MalePopCanReadWrite,MalePopReadOnly,MalePopCantReadWrite,MaleLiteracyUnknown,FemalePopabove5,FemalePopCanReadWrite,FemalePopReadOnly,FemalePopCantReadWrite,FemaleLiteracyUnknown
Jumla,93960,51355,3184,39379,42,47370,32326,1517,13508,19,46590,19029,1667,25871,23
Kalikot,115305,65523,5138,44544,100,57732,39197,2587,15911,37,57573,26326,2551,28633,63
Mugu,46669,23918,2170,20535,46,23671,15426,1074,7154,17,22998,8492,1096,13381,29
Humla,43462,20785,1186,21459,32,22169,13759,620,7777,13,21293,7026,566,13682,19
Bajura,115977,64579,2847,48514,37,56160,38662,1288,16193,17,59817,25917,1559,32321,20
Bajhang,167998,93323,5393,69182,100,78875,57570,2495,18774,36,89123,35753,2898,50408,64
Achham,221088,123045,8503,89229,311,101551,71796,3878,25759,118,119537,51249,4625,63470,193
Doti,181144,102071,5960,72883,230,81673,59956,2653,18992,72,99471,42115,3307,53891,158
Kailali,701431,465176,18820,217198,237,340202,259090,8503,72531,78,361229,206086,10317,144667,159
Kanchanpur,407283,287826,8653,110688,116,193331,157270,3947,32074,40,213952,130556,4706,78614,76
Dadeldhura,124926,81584,3225,40039,78,57805,46049,1506,10225,25,67121,35535,1719,29814,53
Baitadi,218915,137854,5689,75219,153,101046,79836,2541,18616,53,117869,58018,3148,56603,100
Darchula,117150,76573,2751,37784,42,55418,43927,1195,10278,18,61732,32646,1556,27506,24
