District,Sex,Population above 5 years,Population who can read and write,Population who can read only,Population who can't read or write,Not stated
Makwanpur,Female,195049,118185,5017,71758,89
Rautahat,Male,310238,157845,11364,140361,668
Rautahat,Female,295052,94496,11006,188636,914
Bara,Male,311464,195448,9270,106556,190
Bara,Female,297756,121103,9075,167274,304
Parsa,Male,278048,186101,7899,83775,273
Parsa,Female,255126,111964,7486,135297,379
Chitawan,Male,256694,215282,4946,36351,115
Chitawan,Female,280489,198244,5633,76434,178
Gorkha,Male,109273,82054,2622,24558,39
Gorkha,Female,138584,82370,3371,52765,78
Lamjung,Male,68736,55491,1557,11666,22
Lamjung,Female,84890,53760,2234,28833,63
Tanahu,Male,129445,108317,2385,18673,70
Tanahu,Female,166166,112877,3262,49846,181
Syangja,Male,113340,97531,1827,13937,45
Syangja,Female,151685,105503,2496,43565,121
Kaski,Male,216624,195181,3018,18365,60
Kaski,Female,238368,179621,3997,54618,132
Manang,Male,3481,2890,21,570,0
Manang,Female,2680,1721,20,939,0
Mustang,Male,6676,5034,139,1502,1
Mustang,Female,5912,3300,166,2443,3
Myagdi,Male,45372,36781,956,7617,18
Myagdi,Female,56421,36379,1414,18590,38
Parbat,Male,58306,48636,1373,8253,44
Parbat,Female,74749,49621,1659,23412,57
Baglung,Male,103827,83675,2624,17485,43
Baglung,Female,137278,89625,3555,43984,114
Gulmi,Male,106310,86799,2089,17393,29
Gulmi,Female,145742,96102,2647,46942,51
Palpa,Male,103503,87853,2428,13185,37
Palpa,Female,133688,92935,3462,37202,89
Nawalparasi,Male,274920,219593,5526,49675,126
Nawalparasi,Female,312978,196418,6508,109847,205
Rupandehi,Male,390651,309480,8722,72134,315
Rupandehi,Female,409779,249086,9611,150502,580
Kapilbastu,Male,253216,164431,9120,79443,222
Kapilbastu,Female,255282,114788,9325,130856,313
Arghakhanchi,Male,75231,61509,1658,12029,35
Arghakhanchi,Female,101607,66851,2189,32466,101
Pyuthan,Male,85054,66499,1866,16663,26
Pyuthan,Female,113418,66502,2402,44465,49
Rolpa,Male,88582,63379,2712,22449,42
Rolpa,Female,107387,54211,3374,49732,70
Rukum,Male,86955,61936,2126,22856,37
Rukum,Female,97296,52460,2636,42138,62
Salyan,Male,101916,75292,3427,23120,77
Salyan,Female,112899,62284,3981,46400,234
Dang,Male,233721,184354,4579,44648,140
Dang,Female,265388,166614,5340,93221,213
Banke,Male,219393,153486,5455,60252,200
Banke,Female,223092,122584,5964,94219,325
Bardiya,Male,185149,136153,3259,45705,32
Bardiya,Female,202474,117331,4009,81067,67
Surkhet,Male,149173,122382,3662,23084,45
Surkhet,Female,162340,105385,4802,52066,87
Dailekh,Male,108973,79374,3472,26093,34
Dailekh,Female,117493,62105,3974,51345,69
Jajarkot,Male,72824,47988,2779,22026,31
Jajarkot,Female,73211,35651,3064,34452,44
Dolpa,Male,15795,10719,506,4559,11
Dolpa,Female,16010,6503,614,8879,14
Jumla,Male,47370,32326,1517,13508,19
Jumla,Female,46590,19029,1667,25871,23
Kalikot,Male,57732,39197,2587,15911,37
Kalikot,Female,57573,26326,2551,28633,63
Mugu,Male,23671,15426,1074,7154,17
Mugu,Female,22998,8492,1096,13381,29
Humla,Male,22169,13759,620,7777,13
Humla,Female,21293,7026,566,13682,19
Bajura,Male,56160,38662,1288,16193,17
Bajura,Female,59817,25917,1559,32321,20
Bajhang,Male,78875,57570,2495,18774,36
Bajhang,Female,89123,35753,2898,50408,64
Achham,Male,101551,71796,3878,25759,118
Achham,Female,119537,51249,4625,63470,193
Doti,Male,81673,59956,2653,18992,72
Doti,Female,99471,42115,3307,53891,158
Kailali,Male,340202,259090,8503,72531,78
Kailali,Female,361229,206086,10317,144667,159
Kanchanpur,Male,193331,157270,3947,32074,40
Kanchanpur,Female,213952,130556,4706,78614,76
Dadeldhura,Male,57805,46049,1506,10225,25
Dadeldhura,Female,67121,35535,1719,29814,53
Baitadi,Male,101046,79836,2541,18616,53
Baitadi,Female,117869,58018,3148,56603,100
Darchula,Male,55418,43927,1195,10278,18
Darchula,Female,61732,32646,1556,27506,24
